,Year,DayType_i,Hour,Air Temperature (degC),Energy Demand (kWh),Irradiance (W/m2),DUoS export (GBP/kWh),DUoS import (GBP/kWh),Wholesale (GBP/kWh),Misc (GBP/kWh),Export Price (GBP/kWh),Import Price (GBP/kWh),DRH (GBP/MW/hr),DRL (GBP/MW/hr),PV Energy Output (kWh),Grid Import (kWh),Grid Export (kWh),Battery Charging (kWh),Battery Discharging (kWh),Battery SOC,Battery Energy level (kWh)
6476,11,6,20,6.363860000000001,82.21232950169048,0.0,0.009232839917732053,0.010312542336897122,0.0978661500559405,0.1653865550985818,0.10709898997367255,0.2735652474914194,-4.604,6.43,0.0,82.21232950169048,0.0,0.0,0.0,0.3999999999999999,131.6896105220635
6477,11,6,21,5.96592,80.20740859327381,0.0,0.008353851409822031,0.009329736288682767,0.08859826229088298,0.1653865550985818,0.09695211370070501,0.26331455367814754,-4.604,6.43,0.0,80.20740859327381,0.0,0.0,0.0,0.3999999999999999,131.6896105220635
6478,11,6,22,5.62324,66.68146624258333,0.0,0.00044295483863182275,0.00048448185475355606,0.08205759795763481,0.1653865550985818,0.08250055279626664,0.24792863491097017,-4.604,6.43,0.0,66.68146624258333,0.0,0.0,0.0,0.3999999999999999,131.6896105220635
6479,11,6,23,5.34142,64.0158786272381,0.0,0.00044295483863182275,0.00048448185475355606,0.07445699560966848,0.1653865550985818,0.0748999504483003,0.24032803256300383,-4.468999999999999,6.409000000000001,0.0,64.0158786272381,0.0,0.0,0.0,0.3999999999999999,131.6896105220635
6480,11,7,0,5.115536363636364,69.37903457156818,0.0,0.00044295483863182275,0.00048448185475355606,0.05869410074615668,0.1653865550985818,0.0591370555847885,0.22456513769949205,-0.3595454545454546,7.588636363636363,0.0,69.37903457156818,0.0,0.0,0.0,0.4,131.68961052206353
6481,11,7,1,4.801818181818182,68.10920034442425,0.0,0.00044295483863182275,0.00048448185475355606,0.058389497973331865,0.1653865550985818,0.05883245281196369,0.22426053492666723,-0.3595454545454546,7.588636363636363,0.0,137.33671793776767,0.0,69.2275175933434,0.0,0.5938628555196152,195.5139203672465
6482,11,7,2,4.570763636363636,72.42331722372214,0.0,0.00044295483863182275,0.00048448185475355606,0.05779953748304601,0.1653865550985818,0.05824249232167784,0.22367057443638136,-0.3595454545454546,7.588636363636363,0.0,141.65083481706554,0.0,69.2275175933434,0.0,0.7877257110392302,259.33823021242944
6483,11,7,3,4.407027272727273,68.23803529168804,0.0,0.00044295483863182275,0.00048448185475355606,0.05843794242304035,0.1653865550985818,0.05888089726167218,0.2243089793763757,-3.761363636363636,9.328181818181818,0.0,116.73336580708566,0.0,48.49533051539763,0.0,0.9235307143084288,304.0485001811003
6484,11,7,4,4.270572727272728,71.1507407024697,0.0692818181818181,0.00044295483863182275,0.00048448185475355606,0.07094191942862677,0.1653865550985818,0.07138487426725859,0.23681295638196212,-3.761363636363636,9.328181818181818,0.023302020462042574,71.12743868200766,0.0,0.0,0.0,0.9235307143084288,304.0485001811003
6485,11,7,5,4.405845454545455,106.09681147873484,19.161827272727272,0.00044295483863182275,0.00048448185475355606,0.10318734150173152,0.1653865550985818,0.10363029634036335,0.26905837845506686,-3.761363636363636,9.328181818181818,6.431702086284636,30.437591799106798,0.0,0.0,69.2275175933434,0.6954545670450968,228.96035267489776
6486,11,7,6,5.478427272727273,101.99727297152272,103.49336363636364,0.009232839917731916,0.010312542336896983,0.1164916473614065,0.1653865550985818,0.12572448727913843,0.2921907447968853,-3.761363636363636,9.328181818181818,34.37067394014539,0.0,0.0,0.0,67.62659903137734,0.4726527868310128,155.60865352486
6487,11,7,7,6.961172727272728,100.1882267999015,239.1933363636364,0.009232839917731916,0.010312542336896983,0.11195578689897241,0.1653865550985818,0.12118862681670432,0.2876548843344512,-2.1913636363636364,7.686363636363636,78.13606510347329,0.0,0.0,0.0,22.052161696428215,0.3999999999999999,131.6896105220635
6488,11,7,8,8.812745454545455,105.2784309670606,382.09985454545455,0.009232839917731916,0.010312542336896983,0.10105644933715578,0.1653865550985818,0.11028928925488769,0.2767555467726346,-2.1913636363636364,7.686363636363636,122.50785725126381,0.0,0.0,17.229426284203214,0.0,0.4482488162877808,147.57428008478465
6489,11,7,9,10.48161818181818,106.20587075141395,502.3769727272728,0.009232839917731916,0.010312542336896983,0.08849606441067583,0.1653865550985818,0.09772890432840774,0.2641951618461546,-2.1913636363636364,7.686363636363636,158.45282964693274,0.0,41.74898824903975,10.497970646479041,0.0,0.47764704747443854,157.252884122306
6490,11,7,10,11.740118181818184,107.30992362351664,585.2139454545454,0.009232839917731916,0.010312542336896983,0.0811643619397218,0.1653865550985818,0.09039720185745372,0.2568634593752006,-2.1913636363636364,7.686363636363636,182.40970018313584,0.0,5.872258966275794,69.2275175933434,0.0,0.6715099029940537,221.07719396748897
